timestamp,sequence,exchange_timestamp,bid_price_0,bid_size_0,ask_price_0,ask_size_0,bid_price_1,bid_size_1,ask_price_1,ask_size_1,bid_price_2,bid_size_2,ask_price_2,ask_size_2,bid_price_3,bid_size_3,ask_price_3,ask_size_3,bid_price_4,bid_size_4,ask_price_4,ask_size_4,bid_price_5,bid_size_5,ask_price_5,ask_size_5,bid_price_6,bid_size_6,ask_price_6,ask_size_6,bid_price_7,bid_size_7,ask_price_7,ask_size_7,bid_price_8,bid_size_8,ask_price_8,ask_size_8,bid_price_9,bid_size_9,ask_price_9,ask_size_9,bid_price_10,bid_size_10,ask_price_10,ask_size_10,bid_price_11,bid_size_11,ask_price_11,ask_size_11,bid_price_12,bid_size_12,ask_price_12,ask_size_12,bid_price_13,bid_size_13,ask_price_13,ask_size_13,bid_price_14,bid_size_14,ask_price_14,ask_size_14,bid_price_15,bid_size_15,ask_price_15,ask_size_15,bid_price_16,bid_size_16,ask_price_16,ask_size_16,bid_price_17,bid_size_17,ask_price_17,ask_size_17,bid_price_18,bid_size_18,ask_price_18,ask_size_18,bid_price_19,bid_size_19,ask_price_19,ask_size_19
1756903691.37541,19234802967,1756903691225,4354.69,2.943,4354.7,4.1673,4354.67,1.7372,4354.71,0.4321,4354.65,0.002,4354.82,0.1399,4354.61,0.004,4354.85,0.6452,4354.59,0.0601,4355.26,0.302,4354.56,0.055,4355.34,0.002,4354.53,0.008,4355.35,0.9644,4354.37,0.016,4355.36,2.4039,4354.34,0.1489,4355.38,0.004,4354.33,0.2689,4355.39,0.019,4354.28,0.1692,4355.4,0.1468,4354.25,0.1,4355.41,0.023,4354.15,0.023,4355.46,0.008,4354.14,0.6986,4355.51,0.247,4354.13,2.2967,4355.54,0.2291,4354.05,0.032,4355.55,0.2991,4354.02,0.8449,4355.56,1.1642,4353.98,0.3451,4355.57,2.2959,4353.97,0.0021,4355.62,0.016,4353.92,3.7423,4355.64,0.6813
1756903691.4749992,19234802984,1756903691325,4354.69,3.6722,4354.7,4.1673,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.59,0.0601,4354.84,0.1936,4354.56,0.055,4354.85,0.6452,4354.54,5.345,4355.26,0.302,4354.53,0.008,4355.34,0.002,4354.37,0.016,4355.35,0.9644,4354.34,0.3784,4355.36,2.4039,4354.33,0.2689,4355.38,0.004,4354.29,0.7853,4355.39,0.019,4354.28,0.1692,4355.4,0.1468,4354.25,0.1,4355.41,0.023,4354.17,2.5116,4355.46,0.008,4354.16,5.0479,4355.51,0.247,4354.15,0.9955,4355.54,0.2291,4354.13,2.2967,4355.55,0.2991,4354.05,0.032,4355.56,1.1642,4354.02,1.4312,4355.57,2.2959,4353.98,0.3451,4355.62,0.016
1756903691.598948,19234802997,1756903691448,4354.69,3.5923,4354.7,4.1673,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.59,0.0601,4354.84,0.1936,4354.56,0.055,4354.85,0.6452,4354.55,1.6059,4355.26,0.302,4354.54,5.345,4355.34,0.002,4354.53,0.008,4355.35,0.9644,4354.37,0.016,4355.36,2.4039,4354.34,0.1489,4355.38,0.004,4354.33,0.2689,4355.39,0.019,4354.28,0.1692,4355.4,0.1468,4354.25,0.1,4355.41,0.023,4354.17,2.5116,4355.46,0.008,4354.16,5.0479,4355.51,0.247,4354.15,0.023,4355.54,0.2291,4354.13,2.2967,4355.55,0.2991,4354.05,0.032,4355.56,1.1642,4354.02,0.8449,4355.57,2.2959,4353.98,0.3451,4355.62,0.016
1756903691.7207808,19234803009,1756903691570,4354.69,3.6722,4354.7,4.1673,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.59,0.0601,4354.84,0.1936,4354.56,0.055,4354.85,0.6452,4354.55,1.6059,4355.26,0.302,4354.54,5.345,4355.34,0.002,4354.53,0.008,4355.35,0.9644,4354.37,0.016,4355.36,2.4039,4354.34,0.3136,4355.38,0.004,4354.33,0.11,4355.39,0.019,4354.28,0.1692,4355.4,0.1468,4354.25,0.1,4355.41,0.023,4354.17,2.5116,4355.46,0.008,4354.16,5.0479,4355.51,0.247,4354.15,0.023,4355.54,0.2291,4354.13,2.2967,4355.55,0.2991,4354.05,0.032,4355.56,1.1642,4354.02,0.8449,4355.57,2.2959,4353.98,0.3451,4355.62,0.016
1756903691.8840034,19234803019,1756903691734,4354.69,3.5923,4354.7,4.1673,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.59,0.0601,4354.84,0.1936,4354.56,0.055,4354.85,0.6452,4354.55,1.6059,4355.26,0.302,4354.54,5.345,4355.34,0.002,4354.53,0.008,4355.35,0.9644,4354.37,0.016,4355.36,2.4039,4354.34,0.3136,4355.38,0.004,4354.33,0.11,4355.39,0.019,4354.28,0.1692,4355.4,0.1468,4354.25,0.1,4355.41,0.023,4354.17,2.5116,4355.46,0.008,4354.16,5.0479,4355.51,0.247,4354.15,0.023,4355.54,0.2291,4354.13,2.2967,4355.55,0.2991,4354.05,0.032,4355.56,1.1642,4354.02,0.8449,4355.57,2.2959,4353.98,0.3451,4355.62,0.016
1756903691.9902277,19234803060,1756903691839,4354.69,3.581,4354.7,4.1673,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.59,0.0601,4354.84,0.1936,4354.56,0.055,4354.85,0.6452,4354.55,1.6059,4355.26,0.302,4354.54,5.345,4355.34,0.7188,4354.53,0.008,4355.35,0.9644,4354.37,0.016,4355.36,2.4039,4354.34,0.3136,4355.38,0.004,4354.33,0.11,4355.39,0.019,4354.28,0.1692,4355.4,0.1468,4354.25,0.1,4355.41,0.023,4354.17,2.5116,4355.46,0.008,4354.16,5.0479,4355.51,0.247,4354.15,0.023,4355.54,0.2291,4354.13,2.2967,4355.55,0.2991,4354.05,0.032,4355.56,1.1642,4354.02,0.8449,4355.57,2.2959,4353.98,0.3451,4355.62,0.016
1756903692.094967,19234803105,1756903691945,4354.69,1.2571,4354.7,4.4127,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.56,0.055,4354.84,0.1936,4354.53,0.008,4354.85,0.6452,4354.37,0.016,4355.25,0.3062,4354.34,0.1489,4355.26,0.302,4354.33,0.2681,4355.34,0.7188,4354.28,0.1692,4355.35,0.9644,4354.25,0.1,4355.36,2.4039,4354.17,1.5378,4355.38,0.004,4354.16,5.0479,4355.39,0.019,4354.15,0.023,4355.4,0.1527,4354.05,0.032,4355.41,0.023,4354.02,0.8449,4355.46,0.008,4353.98,0.3451,4355.51,0.247,4353.97,0.0021,4355.54,0.2291,4353.94,2.2968,4355.55,0.2991,4353.92,1.4455,4355.56,1.1642,4353.85,0.6813,4355.57,2.2959
1756903692.205882,19234803135,1756903692056,4354.69,2.6115,4354.7,4.4127,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.56,0.8654,4354.84,0.1936,4354.55,1.6059,4354.85,0.6452,4354.54,5.345,4355.25,0.3062,4354.53,0.008,4355.26,0.302,4354.37,0.016,4355.34,0.7188,4354.34,0.3918,4355.35,0.9644,4354.33,0.2681,4355.36,2.4039,4354.28,0.1692,4355.38,0.004,4354.25,0.1,4355.39,0.019,4354.18,0.0072,4355.4,0.1527,4354.17,1.5378,4355.41,0.023,4354.16,5.0479,4355.46,0.008,4354.15,0.023,4355.51,0.247,4354.05,0.032,4355.54,0.2291,4354.02,1.3891,4355.55,0.2991,4353.98,0.3451,4355.56,1.1642,4353.97,0.0021,4355.57,2.2959
1756903692.3351984,19234803187,1756903692182,4354.69,2.6344,4354.7,4.1673,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.56,0.055,4354.84,0.1936,4354.55,1.6059,4354.85,0.6452,4354.54,5.345,4355.25,0.3062,4354.53,0.008,4355.26,0.302,4354.37,0.016,4355.34,0.7188,4354.34,0.1489,4355.35,0.9644,4354.33,0.2681,4355.36,2.4039,4354.28,0.1692,4355.38,0.004,4354.25,0.1,4355.39,0.019,4354.17,1.5378,4355.4,0.1527,4354.16,5.0479,4355.41,0.023,4354.15,0.023,4355.46,0.008,4354.05,0.032,4355.51,0.247,4354.02,0.8449,4355.54,0.2291,4353.98,0.3451,4355.55,0.2991,4353.97,0.0021,4355.56,1.1642,4353.92,1.4455,4355.57,2.2959
1756903692.507701,19234803197,1756903692358,4354.69,0.8684,4354.7,4.1649,4354.65,0.002,4354.71,0.4321,4354.61,0.004,4354.82,0.1399,4354.56,0.055,4354.84,0.1936,4354.55,1.6059,4354.85,0.6452,4354.54,5.345,4355.25,0.3062,4354.53,0.008,4355.26,0.302,4354.37,0.016,4355.34,0.7188,4354.34,0.1489,4355.35,0.9644,4354.33,0.2681,4355.36,2.4039,4354.28,0.1692,4355.38,0.004,4354.25,0.1,4355.39,0.019,4354.17,1.5378,4355.4,0.1527,4354.16,5.0479,4355.41,0.023,4354.15,0.023,4355.46,0.008,4354.05,0.032,4355.51,0.247,4354.02,0.8449,4355.54,0.2291,4353.98,0.3451,4355.55,0.2991,4353.97,0.0021,4355.56,1.1642,4353.92,1.4455,4355.57,2.2959
